,name,playtime,number of platforms,platforms,number of stores,stores,genres,release date,rating,max rating,rating count,metacritic score,added,month
99,Catherine: Full Body,0,3,"['PlayStation', 'Nintendo']",1,['PlayStation Store'],"['Adventure', 'Action', 'RPG', 'Puzzle']",2019-09-03,4.05,5,56,81.0,"{'yet': 38, 'owned': 141, 'beaten': 39, 'toplay': 178, 'dropped': 10, 'playing': 12}",9
100,DEAD OR ALIVE 6,1,3,"['PC', 'PlayStation', 'Xbox']",3,"['Steam', 'PlayStation Store', 'Xbox Store']","['Action', 'Fighting']",2019-03-01,3.36,4,59,,"{'yet': 14, 'owned': 314, 'beaten': 15, 'toplay': 40, 'dropped': 25, 'playing': 9}",3
101,Almost There: The Platformer,2,6,"['PC', 'PlayStation', 'Xbox', 'Apple Macintosh', 'Linux', 'Nintendo']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'Nintendo Store']","['Casual', 'Strategy', 'Indie', 'Action']",2019-02-19,2.0,1,8,,"{'yet': 36, 'owned': 362, 'beaten': 1, 'toplay': 2, 'dropped': 2}",2
102,Kind Words (lo fi chill beats to write to),1,3,"['PC', 'Apple Macintosh', 'Linux']",2,"['Steam', 'itch.io']","['Casual', 'Indie']",2019-09-12,4.42,5,31,,"{'yet': 30, 'owned': 312, 'beaten': 15, 'toplay': 24, 'dropped': 9, 'playing': 11}",9
103,Monster Hunter World: Iceborne,0,3,"['PC', 'PlayStation', 'Xbox']",3,"['Steam', 'PlayStation Store', 'Xbox Store']","['Massively Multiplayer', 'Action', 'RPG']",2019-09-06,4.5,5,61,89.0,"{'yet': 17, 'owned': 249, 'beaten': 19, 'toplay': 65, 'dropped': 8, 'playing': 41}",9
104,MLB The Show 19,0,1,['PlayStation'],1,['PlayStation Store'],['Sports'],2019-03-26,3.17,4,71,,"{'yet': 25, 'owned': 308, 'beaten': 14, 'toplay': 3, 'dropped': 31, 'playing': 17}",3
105,DISSIDIA FINAL FANTASY NT Free Edition,1,1,['PC'],1,['Steam'],['Action'],2019-03-12,2.7,3,40,,"{'yet': 16, 'owned': 343, 'beaten': 2, 'toplay': 4, 'dropped': 26, 'playing': 3}",3
106,Stygian: Reign of the Old Ones,5,3,"['PC', 'Apple Macintosh', 'Linux']",2,"['Steam', 'GOG']","['Indie', 'RPG']",2019-09-25,3.89,4,27,,"{'yet': 15, 'owned': 310, 'beaten': 10, 'toplay': 42, 'dropped': 12, 'playing': 4}",9
107,Indivisible,3,6,"['PC', 'PlayStation', 'Xbox', 'Apple Macintosh', 'Linux', 'Nintendo']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG']","['Indie', 'Action', 'RPG']",2019-10-07,3.47,3,47,,"{'yet': 24, 'owned': 234, 'beaten': 14, 'toplay': 77, 'dropped': 30, 'playing': 11}",10
108,The Stillness of the Wind,1,3,"['PC', 'Apple Macintosh', 'Nintendo']",3,"['Steam', 'Nintendo Store', 'itch.io']","['Indie', 'Adventure']",2019-02-07,3.62,4,13,,"{'yet': 20, 'owned': 320, 'beaten': 9, 'toplay': 26, 'dropped': 6, 'playing': 2}",2
109,Afterparty,0,6,"['PC', 'PlayStation', 'Xbox', 'Apple Macintosh', 'Linux', 'Nintendo']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'Epic Games']","['Indie', 'Adventure']",2019-10-29,3.62,4,47,74.0,"{'yet': 28, 'owned': 191, 'beaten': 21, 'toplay': 115, 'dropped': 14, 'playing': 14}",10
110,Blazing Chrome,1,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",5,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG', 'Nintendo Store']","['Indie', 'Action']",2019-07-11,3.83,4,69,,"{'yet': 24, 'owned': 257, 'beaten': 20, 'toplay': 42, 'dropped': 26, 'playing': 11}",7
111,Tom Clancy's Ghost Recon Breakpoint,0,3,"['PC', 'PlayStation', 'Xbox']",3,"['PlayStation Store', 'Xbox Store', 'Epic Games']",['Shooter'],2019-10-04,2.48,1,76,59.0,"{'yet': 10, 'owned': 215, 'beaten': 18, 'toplay': 89, 'dropped': 29, 'playing': 13}",10
112,Etherborn,2,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",5,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG', 'Nintendo Store']","['Indie', 'Adventure']",2019-07-17,3.27,4,11,69.0,"{'yet': 22, 'owned': 324, 'beaten': 6, 'toplay': 15, 'dropped': 3, 'playing': 1}",7
113,60 Seconds! Reatomized,3,2,"['PC', 'Apple Macintosh']",1,['Steam'],"['Adventure', 'Casual', 'Strategy', 'Simulation', 'Indie']",2019-07-25,3.47,4,28,,"{'yet': 34, 'owned': 307, 'beaten': 10, 'toplay': 12, 'dropped': 7}",7
114,Lonely Mountains: Downhill,2,5,"['PC', 'PlayStation', 'Xbox', 'Apple Macintosh', 'Nintendo']",3,"['Steam', 'PlayStation Store', 'Xbox Store']","['Racing', 'Indie', 'Sports']",2019-10-23,3.56,4,55,,"{'yet': 5, 'owned': 282, 'beaten': 10, 'toplay': 27, 'dropped': 30, 'playing': 14}",10
115,Gato Roboto,3,3,"['PC', 'Xbox', 'Nintendo']",4,"['Steam', 'Xbox Store', 'GOG', 'Nintendo Store']","['Indie', 'Adventure', 'Action']",2019-05-29,4.05,4,52,,"{'yet': 20, 'owned': 250, 'beaten': 45, 'toplay': 32, 'dropped': 12, 'playing': 8}",5
116,Train Valley 2,3,3,"['PC', 'Apple Macintosh', 'Linux']",2,"['Steam', 'GOG']","['Casual', 'Strategy', 'Indie', 'Simulation']",2019-04-14,3.71,4,14,,"{'yet': 8, 'owned': 344, 'beaten': 1, 'toplay': 2, 'dropped': 4, 'playing': 3}",4
117,WARSAW,4,1,['PC'],2,"['Steam', 'GOG']","['Strategy', 'Indie', 'RPG']",2019-10-01,3.29,3,7,,"{'yet': 12, 'owned': 325, 'beaten': 1, 'toplay': 16, 'dropped': 3, 'playing': 1}",10
118,Tales of Vesperia: Definitive Edition,22,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",1,['Steam'],['RPG'],2019-01-10,3.37,4,84,81.0,"{'yet': 41, 'owned': 180, 'beaten': 34, 'toplay': 63, 'dropped': 18, 'playing': 22}",1
119,Biomutant,0,3,"['PC', 'PlayStation', 'Xbox']",2,"['Steam', 'GOG']","['Action', 'RPG']",2019-07-31,3.67,3,6,,"{'yet': 27, 'owned': 25, 'toplay': 300, 'playing': 1}",7
120,MOLEK-SYNTEZ,2,3,"['PC', 'Apple Macintosh', 'Linux']",2,"['Steam', 'GOG']","['Indie', 'Simulation']",2019-11-18,4.33,5,6,,"{'yet': 13, 'owned': 325, 'beaten': 2, 'toplay': 2, 'dropped': 3, 'playing': 5}",11
121,Age of Wonders: Planetfall,3,3,"['PC', 'PlayStation', 'Xbox']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG']",['Strategy'],2019-08-05,3.68,4,47,81.0,"{'yet': 21, 'owned': 233, 'beaten': 5, 'toplay': 57, 'dropped': 22, 'playing': 11}",8
122,Noita,2,1,['PC'],2,"['Steam', 'GOG']","['Indie', 'Adventure', 'Action', 'RPG']",2019-09-23,4.12,4,33,,"{'yet': 12, 'owned': 246, 'beaten': 9, 'toplay': 46, 'dropped': 11, 'playing': 16}",9
123,NEOVERSE,1,2,"['PC', 'Apple Macintosh']",1,['Steam'],"['Strategy', 'Indie']",2019-01-09,3.44,4,9,,"{'yet': 12, 'owned': 308, 'beaten': 3, 'toplay': 3, 'dropped': 3, 'playing': 1}",1
124,Ni no Kuni: Wrath of the White Witch Remastered,7,3,"['PC', 'PlayStation', 'Nintendo']",2,"['Steam', 'PlayStation Store']","['Adventure', 'Action', 'RPG']",2019-09-19,4.21,5,37,,"{'yet': 31, 'owned': 136, 'beaten': 25, 'toplay': 110, 'dropped': 11, 'playing': 15}",9
125,Tetris 99,0,1,['Nintendo'],None,None,"['Massively Multiplayer', 'Puzzle']",2019-02-13,4.34,5,171,83.0,"{'yet': 13, 'owned': 78, 'beaten': 52, 'toplay': 17, 'dropped': 89, 'playing': 78}",2
126,Subnautica: Below Zero,3,2,"['PC', 'Apple Macintosh']",2,"['Steam', 'Epic Games']","['Indie', 'Adventure']",2019-01-30,4.12,4,49,,"{'yet': 38, 'owned': 163, 'beaten': 1, 'toplay': 93, 'dropped': 11, 'playing': 16}",1
127,Descenders,3,3,"['PC', 'Xbox', 'Nintendo']",2,"['Steam', 'Xbox Store']","['Racing', 'Action', 'Sports']",2019-05-07,3.33,4,39,,"{'yet': 6, 'owned': 264, 'beaten': 4, 'toplay': 10, 'dropped': 26, 'playing': 8}",5
129,Final Fantasy VIII Remastered,3,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'Nintendo Store']","['Adventure', 'RPG']",2019-09-03,4.35,5,40,,"{'yet': 22, 'owned': 154, 'beaten': 26, 'toplay': 87, 'dropped': 10, 'playing': 17}",9
130,Outward,3,3,"['PC', 'PlayStation', 'Xbox']",5,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG', 'Epic Games']",['RPG'],2019-03-25,3.63,4,48,65.0,"{'yet': 20, 'owned': 204, 'beaten': 14, 'toplay': 45, 'dropped': 19, 'playing': 14}",3
131,Sea of Solitude,4,3,"['PC', 'PlayStation', 'Xbox']",3,"['Steam', 'PlayStation Store', 'Xbox Store']","['Adventure', 'Action']",2019-07-05,3.19,3,42,68.0,"{'yet': 26, 'owned': 120, 'beaten': 27, 'toplay': 119, 'dropped': 15, 'playing': 3}",7
132,Heave Ho,3,3,"['PC', 'Apple Macintosh', 'Nintendo']",3,"['Steam', 'GOG', 'Nintendo Store']","['Indie', 'Platformer', 'Adventure']",2019-08-28,4.33,4,12,,"{'yet': 13, 'owned': 272, 'beaten': 6, 'toplay': 2, 'dropped': 6, 'playing': 4}",8
133,Telling Lies,4,5,"['PC', 'PlayStation', 'Xbox', 'iOS', 'Apple Macintosh']",5,"['Steam', 'PlayStation Store', 'Xbox Store', 'App Store', 'GOG']","['Indie', 'Adventure', 'Simulation']",2019-08-23,3.73,4,37,82.0,"{'yet': 25, 'owned': 121, 'beaten': 31, 'toplay': 100, 'dropped': 12, 'playing': 9}",8
134,Planet Zoo,6,1,['PC'],1,['Steam'],"['Strategy', 'Simulation']",2019-11-05,3.81,4,30,,"{'yet': 16, 'owned': 169, 'beaten': 4, 'toplay': 79, 'dropped': 10, 'playing': 15}",11
135,Cadence of Hyrule - Crypt of the NecroDancer Featuring the Legend of Zelda,0,1,['Nintendo'],1,['Nintendo Store'],"['Adventure', 'Action', 'RPG']",2019-06-13,4.15,4,88,85.0,"{'yet': 20, 'owned': 31, 'beaten': 63, 'toplay': 132, 'dropped': 19, 'playing': 18}",6
136,Draugen,4,3,"['PC', 'PlayStation', 'Xbox']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG']","['Indie', 'Adventure']",2019-05-29,3.59,4,58,73.0,"{'yet': 33, 'owned': 81, 'beaten': 45, 'toplay': 116, 'dropped': 8}",5
137,Anno 1800,8,1,['PC'],2,"['Steam', 'Epic Games']","['Strategy', 'Simulation']",2019-04-16,4.25,4,72,81.0,"{'yet': 27, 'owned': 70, 'beaten': 26, 'toplay': 112, 'dropped': 21, 'playing': 26}",4
138,NieR:Automata Game of the YoRHa Edition,0,2,"['PC', 'PlayStation']",2,"['Steam', 'PlayStation Store']",['Action'],2019-02-26,4.19,5,70,91.0,"{'yet': 40, 'owned': 44, 'beaten': 46, 'toplay': 125, 'dropped': 13, 'playing': 12}",2
139,Tropico 6,6,5,"['PC', 'PlayStation', 'Xbox', 'Apple Macintosh', 'Linux']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG']","['Strategy', 'Simulation']",2019-03-28,3.71,4,56,77.0,"{'yet': 7, 'owned': 173, 'beaten': 16, 'toplay': 50, 'dropped': 24, 'playing': 10}",3
140,KARDS,1,1,['PC'],1,['Steam'],"['Strategy', 'Indie']",2019-04-12,3.38,4,8,,"{'yet': 6, 'owned': 255, 'beaten': 1, 'toplay': 6, 'dropped': 5, 'playing': 4}",4
141,Blood: Fresh Supply,1,1,['PC'],2,"['Steam', 'GOG']",['Action'],2019-05-08,4.24,4,42,,"{'yet': 7, 'owned': 208, 'beaten': 16, 'toplay': 25, 'dropped': 12, 'playing': 9}",5
142,Moons of Madness,4,3,"['PC', 'PlayStation', 'Xbox']",3,"['Steam', 'PlayStation Store', 'Xbox Store']","['Indie', 'Adventure']",2019-10-22,3.47,4,35,65.0,"{'yet': 16, 'owned': 173, 'beaten': 27, 'toplay': 50, 'dropped': 7, 'playing': 1}",10
143,Deliver Us the Moon,4,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG']","['Indie', 'Adventure', 'Action']",2019-10-09,3.64,4,54,74.0,"{'yet': 9, 'owned': 190, 'beaten': 31, 'toplay': 27, 'dropped': 10, 'playing': 2}",10
144,Concrete Genie,0,1,['PlayStation'],1,['PlayStation Store'],"['Adventure', 'Action']",2019-10-08,3.81,4,30,75.0,"{'yet': 15, 'owned': 136, 'beaten': 24, 'toplay': 86, 'dropped': 2, 'playing': 4}",10
145,When Ski Lifts Go Wrong,2,4,"['PC', 'Apple Macintosh', 'Linux', 'Nintendo']",2,"['Steam', 'Nintendo Store']","['Puzzle', 'Casual', 'Simulation', 'Sports', 'Indie']",2019-01-23,3.11,4,19,,"{'yet': 18, 'owned': 229, 'beaten': 2, 'toplay': 6, 'dropped': 10, 'playing': 1}",1
146,Dicey Dungeons,3,2,"['PC', 'Nintendo']",3,"['Steam', 'Nintendo Store', 'itch.io']","['Strategy', 'Indie']",2019-08-13,4.3,5,33,80.0,"{'yet': 9, 'owned': 179, 'beaten': 14, 'toplay': 36, 'dropped': 8, 'playing': 14}",8
147,Generation Zero (2019),4,3,"['PC', 'PlayStation', 'Xbox']",3,"['Steam', 'PlayStation Store', 'Xbox Store']","['Shooter', 'Action']",2019-03-26,2.3,3,43,49.0,"{'yet': 5, 'owned': 180, 'beaten': 6, 'toplay': 34, 'dropped': 29, 'playing': 5}",3
148,Yoshi's Crafted World,0,1,['Nintendo'],1,['Nintendo Store'],['Platformer'],2019-03-29,3.71,4,66,79.0,"{'yet': 16, 'owned': 27, 'beaten': 33, 'toplay': 126, 'dropped': 28, 'playing': 29}",3
149,Dragon Quest Builders 2,9,3,"['PC', 'PlayStation', 'Nintendo']",3,"['Steam', 'PlayStation Store', 'Nintendo Store']","['Adventure', 'Action', 'RPG']",2019-07-12,4.17,5,46,,"{'yet': 7, 'owned': 120, 'beaten': 26, 'toplay': 74, 'dropped': 11, 'playing': 15}",7
150,Trials Rising,3,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",3,"['Steam', 'PlayStation Store', 'Xbox Store']","['Racing', 'Arcade']",2019-02-26,3.73,4,60,81.0,"{'yet': 11, 'owned': 146, 'beaten': 10, 'toplay': 34, 'dropped': 34, 'playing': 18}",2
151,Layers of Fear 2,4,3,"['PC', 'PlayStation', 'Xbox']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG']","['Casual', 'Indie', 'Adventure']",2019-05-27,3.25,4,57,67.0,"{'yet': 22, 'owned': 83, 'beaten': 37, 'toplay': 78, 'dropped': 15, 'playing': 3}",5
152,Blood & Truth,0,1,['PlayStation'],1,['PlayStation Store'],"['Shooter', 'Action']",2019-05-28,4.03,4,37,,"{'yet': 9, 'owned': 164, 'beaten': 22, 'toplay': 30, 'dropped': 6, 'playing': 6}",5
153,Pandemic Express,1,1,['PC'],1,['Steam'],"['Indie', 'Massively Multiplayer', 'Action']",2019-05-02,2.53,3,17,,"{'yet': 3, 'owned': 218, 'beaten': 1, 'toplay': 4, 'dropped': 10, 'playing': 1}",5
154,Shenmue III,0,2,"['PC', 'PlayStation']",4,"['Steam', 'PlayStation Store', 'GOG', 'Epic Games']","['Adventure', 'Action']",2019-11-19,2.79,1,32,,"{'yet': 19, 'owned': 42, 'beaten': 8, 'toplay': 146, 'dropped': 11, 'playing': 5}",11
155,Erica,0,3,"['PlayStation', 'iOS', 'Android']",1,['PlayStation Store'],['Adventure'],2019-08-19,3.45,4,45,,"{'yet': 12, 'owned': 138, 'beaten': 37, 'toplay': 38, 'dropped': 1, 'playing': 3}",8
156,New Super Mario Bros. U Deluxe,0,1,['Nintendo'],1,['Nintendo Store'],['Platformer'],2019-01-11,3.79,4,83,,"{'yet': 15, 'owned': 34, 'beaten': 61, 'toplay': 68, 'dropped': 23, 'playing': 28}",1
157,Love Thyself - A Horatio Story,1,2,"['PC', 'Apple Macintosh']",1,['Steam'],"['Casual', 'Indie']",2019-04-01,2.56,3,8,,"{'yet': 11, 'owned': 206, 'beaten': 4, 'toplay': 5, 'dropped': 2}",4
158,Creature in the Well,1,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",5,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG', 'Nintendo Store']","['Indie', 'Action', 'RPG']",2019-09-05,3.28,4,39,,"{'yet': 7, 'owned': 143, 'beaten': 7, 'toplay': 39, 'dropped': 19, 'playing': 6}",9
159,Yooka-Laylee and the Impossible Lair,1,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",6,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG', 'Nintendo Store', 'Epic Games']","['Indie', 'Platformer', 'Adventure']",2019-10-07,3.95,4,20,,"{'yet': 48, 'owned': 88, 'beaten': 5, 'toplay': 56, 'dropped': 11, 'playing': 10}",10
160,Neo cab,3,4,"['PC', 'iOS', 'Apple Macintosh', 'Nintendo']",2,"['Steam', 'Nintendo Store']","['Indie', 'Adventure', 'RPG']",2019-10-03,3.71,4,23,,"{'yet': 14, 'owned': 130, 'beaten': 12, 'toplay': 49, 'dropped': 8, 'playing': 5}",10
161,Eastshade,2,3,"['PC', 'PlayStation', 'Xbox']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'itch.io']","['Indie', 'Adventure']",2019-02-13,3.96,5,28,,"{'yet': 18, 'owned': 117, 'beaten': 18, 'toplay': 49, 'dropped': 12, 'playing': 3}",2
162,Team Sonic Racing,2,5,"['PC', 'PlayStation', 'Xbox', 'iOS', 'Nintendo']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'Nintendo Store']",['Racing'],2019-05-21,3.47,4,30,,"{'yet': 3, 'owned': 126, 'beaten': 5, 'toplay': 52, 'dropped': 17, 'playing': 14}",5
163,Trover saves the Universe,3,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'Epic Games']","['Indie', 'Adventure', 'Action']",2019-05-31,4.06,4,35,77.0,"{'yet': 10, 'owned': 110, 'beaten': 18, 'toplay': 56, 'dropped': 9, 'playing': 13}",5
164,Coloring Game,1,1,['PC'],1,['Steam'],"['Casual', 'Indie']",2019-02-18,3.27,4,15,,"{'yet': 4, 'owned': 187, 'beaten': 5, 'dropped': 7, 'playing': 5}",2
165,Totally Reliable Delivery Service Beta,1,2,"['PC', 'Apple Macintosh']",1,['Steam'],"['Indie', 'Action']",2019-06-24,2.2,1,10,,"{'yet': 9, 'owned': 186, 'beaten': 2, 'toplay': 2, 'dropped': 7, 'playing': 1}",6
166,Project Winter,3,1,['PC'],1,['Steam'],"['Adventure', 'Action', 'Casual', 'Strategy', 'Indie']",2019-02-07,3.57,4,13,,"{'yet': 6, 'owned': 173, 'beaten': 2, 'toplay': 11, 'dropped': 6, 'playing': 8}",2
167,Football Manager 2020,16,2,"['PC', 'Apple Macintosh']",1,['Steam'],"['Simulation', 'Sports']",2019-11-11,4.2,4,15,,"{'yet': 5, 'owned': 171, 'beaten': 7, 'toplay': 6, 'dropped': 2, 'playing': 10}",11
168,Judgment (2019),0,1,['PlayStation'],1,['PlayStation Store'],"['Adventure', 'Action']",2019-06-25,4.24,5,30,80.0,"{'yet': 20, 'owned': 17, 'beaten': 28, 'toplay': 114, 'dropped': 4, 'playing': 15}",6
169,Supermarket Shriek,0,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",1,['Xbox Store'],['Arcade'],2019-09-06,2.81,3,37,,"{'yet': 5, 'owned': 161, 'beaten': 1, 'toplay': 3, 'dropped': 24, 'playing': 4}",9
170,AMID EVIL,1,1,['PC'],2,"['Steam', 'GOG']",['Action'],2019-06-19,4.14,4,21,,"{'yet': 16, 'owned': 126, 'beaten': 10, 'toplay': 31, 'dropped': 8, 'playing': 5}",6
171,Imperator: Rome,7,3,"['PC', 'Apple Macintosh', 'Linux']",2,"['Steam', 'GOG']","['Strategy', 'Simulation']",2019-04-24,3.43,3,35,,"{'yet': 7, 'owned': 139, 'beaten': 4, 'toplay': 23, 'dropped': 15, 'playing': 5}",4
172,Plants vs. Zombies: Battle for Neighborville,4,3,"['PC', 'PlayStation', 'Xbox']",3,"['Steam', 'PlayStation Store', 'Xbox Store']",['Action'],2019-10-18,3.42,4,19,,"{'yet': 4, 'owned': 161, 'beaten': 1, 'toplay': 14, 'dropped': 7, 'playing': 6}",10
173,BONEWORKS,3,1,['PC'],1,['Steam'],"['Indie', 'Adventure', 'Action', 'Simulation']",2019-12-10,4.29,5,16,,"{'yet': 4, 'owned': 129, 'beaten': 12, 'toplay': 30, 'dropped': 9, 'playing': 7}",12
174,AI: The Somnium Files,8,3,"['PC', 'PlayStation', 'Nintendo']",3,"['Steam', 'PlayStation Store', 'Nintendo Store']",['Adventure'],2019-09-17,4.22,5,31,,"{'yet': 14, 'owned': 92, 'beaten': 34, 'toplay': 43, 'dropped': 3, 'playing': 5}",9
175,The Jackbox Party Pack 6,3,6,"['PC', 'PlayStation', 'Xbox', 'Apple Macintosh', 'Linux', 'Nintendo']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'Nintendo Store']",['Casual'],2019-10-17,4.05,4,21,75.0,"{'yet': 1, 'owned': 161, 'beaten': 4, 'toplay': 10, 'dropped': 8, 'playing': 5}",10
176,Blacksad: Under the Skin,2,5,"['PC', 'PlayStation', 'Xbox', 'Apple Macintosh', 'Nintendo']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG']",['Adventure'],2019-11-05,3.79,4,36,63.0,"{'yet': 29, 'owned': 21, 'beaten': 27, 'toplay': 99, 'dropped': 5, 'playing': 6}",11
177,Lost Ember,1,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG']","['Indie', 'Adventure', 'Action']",2019-11-19,3.53,4,18,,"{'yet': 22, 'owned': 74, 'beaten': 7, 'toplay': 74, 'dropped': 7, 'playing': 2}",11
178,Close To The Sun,2,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",6,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG', 'Nintendo Store', 'Epic Games']","['Indie', 'Adventure', 'Action', 'Puzzle']",2019-05-02,3.57,4,32,66.0,"{'yet': 55, 'owned': 46, 'beaten': 26, 'toplay': 52, 'dropped': 6}",5
179,River City Girls,4,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",5,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG', 'Nintendo Store']",['Action'],2019-09-04,4.02,4,42,,"{'yet': 13, 'owned': 71, 'beaten': 21, 'toplay': 52, 'dropped': 12, 'playing': 15}",9
180,DEMON'S TILT,2,3,"['PC', 'Xbox', 'Apple Macintosh']",2,"['Steam', 'Xbox Store']","['Indie', 'Action']",2019-12-06,3.09,3,22,,"{'yet': 1, 'owned': 168, 'beaten': 1, 'toplay': 4, 'dropped': 7, 'playing': 3}",12
181,God Eater 3,4,3,"['PC', 'PlayStation', 'Nintendo']",3,"['Steam', 'PlayStation Store', 'Nintendo Store']","['Adventure', 'Action', 'RPG']",2019-02-08,3.52,4,29,72.0,"{'yet': 18, 'owned': 90, 'beaten': 11, 'toplay': 50, 'dropped': 11, 'playing': 4}",2
182,Terminator: Resistance,3,3,"['PC', 'PlayStation', 'Xbox']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG']",['Action'],2019-11-13,3.18,4,33,54.0,"{'yet': 11, 'owned': 95, 'beaten': 17, 'toplay': 42, 'dropped': 13, 'playing': 4}",11
183,RAD,2,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'Nintendo Store']",['Action'],2019-08-20,3.35,3,26,72.0,"{'yet': 6, 'owned': 115, 'beaten': 8, 'toplay': 36, 'dropped': 13, 'playing': 3}",8
184,One Finger Death Punch 2,2,3,"['PC', 'Xbox', 'Nintendo']",4,"['Steam', 'Xbox Store', 'GOG', 'Nintendo Store']","['Casual', 'Indie', 'Action']",2019-04-14,3.93,4,15,81.0,"{'yet': 9, 'owned': 146, 'beaten': 2, 'toplay': 10, 'dropped': 4, 'playing': 9}",4
186,Madden NFL 20,0,3,"['PC', 'PlayStation', 'Xbox']",2,"['PlayStation Store', 'Xbox Store']",['Sports'],2019-08-02,3.1,4,30,,"{'yet': 3, 'owned': 143, 'beaten': 3, 'toplay': 9, 'dropped': 10, 'playing': 9}",8
187,ANCESTORS: The Humankind Odyssey,0,3,"['PC', 'PlayStation', 'Xbox']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'Epic Games']","['Indie', 'Adventure', 'Action', 'RPG']",2019-08-27,2.8,3,48,69.0,"{'yet': 16, 'owned': 55, 'beaten': 9, 'toplay': 65, 'dropped': 27, 'playing': 4}",8
188,Yuppie Psycho,4,1,['PC'],1,['Steam'],"['Indie', 'Adventure']",2019-04-25,4.31,5,31,81.0,"{'yet': 11, 'owned': 87, 'beaten': 29, 'toplay': 40, 'dropped': 9}",4
189,Aperture Hand Lab,1,1,['PC'],1,['Steam'],['Adventure'],2019-06-25,3.18,4,11,,"{'yet': 11, 'owned': 153, 'beaten': 6, 'toplay': 1, 'dropped': 3}",6
190,When the Darkness comes,1,1,['PC'],2,"['Steam', 'itch.io']","['Indie', 'Adventure']",2019-01-12,3.58,5,12,,"{'yet': 13, 'owned': 143, 'beaten': 8, 'toplay': 4, 'dropped': 2, 'playing': 2}",1
191,SteamWorld Quest: Hand of Gilgamech,2,4,"['PC', 'Apple Macintosh', 'Linux', 'Nintendo']",3,"['Steam', 'GOG', 'Nintendo Store']","['Card', 'Adventure', 'Action', 'RPG']",2019-04-25,3.88,4,39,,"{'yet': 16, 'owned': 61, 'beaten': 26, 'toplay': 51, 'dropped': 8, 'playing': 8}",4
192,Football Manager 2020 Touch,1,3,"['PC', 'Apple Macintosh', 'Nintendo']",1,['Steam'],"['Simulation', 'Sports']",2019-12-10,3.62,5,8,71.0,"{'yet': 7, 'owned': 152, 'beaten': 3, 'toplay': 3, 'dropped': 1, 'playing': 4}",12
193,Cube World,2,1,['PC'],1,['Steam'],"['Indie', 'Adventure', 'Action', 'RPG']",2019-09-30,2.81,3,26,,"{'yet': 3, 'owned': 122, 'beaten': 4, 'toplay': 7, 'dropped': 28, 'playing': 3}",9
194,Pathway,3,3,"['PC', 'Apple Macintosh', 'Linux']",3,"['Steam', 'GOG', 'Epic Games']","['Indie', 'Strategy', 'Adventure', 'RPG']",2019-04-11,3.62,4,25,,"{'yet': 33, 'owned': 89, 'beaten': 3, 'toplay': 25, 'dropped': 13, 'playing': 4}",4
195,Hypnospace Outlaw,3,3,"['PC', 'Apple Macintosh', 'Linux']",2,"['Steam', 'GOG']",['Simulation'],2019-03-11,4.36,5,21,,"{'yet': 10, 'owned': 99, 'beaten': 20, 'toplay': 20, 'dropped': 8, 'playing': 7}",3
